ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,2
Basic Problems B,Basic Problem B-04,2
Basic Problems B,Basic Problem B-05,6
Basic Problems B,Basic Problem B-06,4
Basic Problems B,Basic Problem B-07,6
Basic Problems B,Basic Problem B-08,5
Basic Problems B,Basic Problem B-09,1
Basic Problems B,Basic Problem B-10,3
Basic Problems B,Basic Problem B-11,3
Basic Problems B,Basic Problem B-12,3
Challenge Problems B,Challenge Problem B-01,5
Challenge Problems B,Challenge Problem B-02,3
Challenge Problems B,Challenge Problem B-03,2
Challenge Problems B,Challenge Problem B-04,2
Challenge Problems B,Challenge Problem B-05,6
Challenge Problems B,Challenge Problem B-06,4
Challenge Problems B,Challenge Problem B-07,6
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,3
Challenge Problems B,Challenge Problem B-10,6
Challenge Problems B,Challenge Problem B-11,4
Challenge Problems B,Challenge Problem B-12,3
